sentence,target_word,substitutions_votes
"""Fernando Navarro i Corbacho is a Spanish footballer who currently plays for Sevilla FC , as a left defender .""",defender,fighter:3 protector:10 guard:12 fielder:2 player:9 supporter:1 champion:1 goalkeeper:1 guardian:1 defenseman:2 opponent:1 back:2 defender:1 blocker:2 stopper:1 defense player:1
"""Throughout recorded history , several cosmologies and cosmogonies have been proposed to account for observations of the Universe .""",observations,sights:1 measuring:1 study:1 recordings:1 views:10 appearance:1 reviews:2 viewings:3 watching:1 sightings:2 inspections:1 detections:1 studies:8 what has been seen:1 knowledge:1 research:2 what they see:1 events:2 evidence:1 interpretations :1 experiences:1 viewing:1 tales:1 noticings:1 happenings:1 consideration:1 records:1 examinations:1
Saint-Montan is a commune in the ArdÌ¬che department in south-eastern France .,department,area:26 district:1 part:2 section:12 agency:1 group:1 place:1 county:1 branch:1 category:2 region:2
"""The term is also at times used as a derogatory term for films or sequels of films that are of inferior quality , or are not expected to find financial success .""",derogatory,bad:17 demeaning:1 insulting:1 negative:19 pejorative:1 rude:2 mean:3 different:1 offensive:3 foul:1 degrading:1
The Hush Sound is currently on hiatus .,hiatus,hold:4 break:30 pause:3 leave:2 rest:1 stop:1 a break:3 vacation:5 holiday:1
"""Mainstream music denotes music that is familiar and unthreatening to the masses , as for example popular music , pop music , middle of the road music , pop rap or soft rock ; Mainstream jazz is generally seen as an evolution of be-bop , which was originally regarded as radical .""",denotes,means:20 indicates:4 shows:4 is:8 promotes:1 expresses:3 symbolizes:1 marks:2 notates:1 defines:1 expresses :1 represents:1 describes:2 frowns on:1
Edwards attended West Buckland School where his potential for the triple jump was spotted at an early age .,potential,ability:13 talent:12 chance:1 skill:7 strength:2 abillity:1 promise:4 promising:1 accomplishment:1 possibility:3 future:1 likely:1 skills:1 capability :1 aptitude :1
"""Inheriting a collapsing empire and faced with constant warfare during his reign against both the Seljuk Turks in Asia Minor and the Normans in the western Balkans , Alexios was able to halt the Byzantine decline and begin the military , financial , and territorial recovery known as the `` Komnenian restoration '' .""",reign,rule:39 time as king:1 war:2 control:1 leadership:2 stint:1 attack:1 power:1 time:1 command:1
"""In the census of 2005 , the population of the Banja Luka Region was at 709,000 residents , predominantly Serb .""",residents,people:37 citizens:9 citizen:1 place:1 inhabitant:1 homeowners:1
"""Monte Plata is a province of the Dominican Republic , and also the name of its capital city . It was split from San CristÌ_bal in 1992 .""",province,area:13 part:10 city:2 region:10 section:3 division:1 territory:2 state:4 town:1 town :1 domain:1 district:2
It is sent as an HTTP header by a web server to a web browser and then sent back unchanged by the browser each time it accesses that server .,accesses,connects to:2 uses:12 enters:7 contacts:11 goes to:2 connects:2 reaches:5 goes on:1 pings:1 approached :1 opens:1 routes:1 checks:1 goes on :1 connects to :1 hits:1
"""In contrast , the 2007 MicropÌ_dia has roughly 65,000 articles , the vast majority of which contain fewer than 750 words , no references , and no named contributors .""",fewer,less:47 under:1 lesser:2
"""By 1961 , Gordy had appointed Robinson vice-president of Motown Records , a title Robinson held for as long as Gordy remained with the company .""",remained,worked:1 stayed:47 kept:1 was:1
From 1908 to 1911 he was the principal conductor of the Vienna Hofoper succeeding Gustav Mahler ; he retained the conductorship of the Vienna Philharmonic until 1927 .,retained,kept:43 held:5 had:1 got :1
"""Mexican cinnamon hot chocolate is traditionally served alongside a variety of Mexican pastries known as pan dulce and , as in Spain , churros .""",traditionally,normally:12 usually:30 often:2 customarily:1 always:1 typically:1 commonly:1 originally:1 historcally:1
Slaves were previously introduced by the British and French who colonized the island in the 18th century .,introduced,brought in:5 given:1 brought:23 imported:1 presented:4 produced:1 obtained:1 shown:3 expressed:1 started:3 called:1 made known:1 brought over:1 found:1 met:1 established:1 brought in :1
"""Cholera , sometimes known as Asiatic or epidemic cholera , is an infectious gastroenteritis caused by enterotoxin-producing strains of the bacterium Vibrio cholerae .""",strains,variations:2 groups:3 types:19 chunks:1 parts:3 lines:3 forms:1 strands:1 a family:1 classes:1 versions:2 strings:2 kinds:4 pieces:1 pressures:1 differences:1 type:1 families:1 problems:1 styles:1
A hurricane struck Dominica and Puerto Rico between July 22 and July 24 .,struck,hit:49 nit:1
"""In 1975 the old district Steinfurt was merged with the district Tecklenburg , and together with Greven and Saerbeck from the former district MÌ_nster the current district was formed .""",formed,born:1 started:1 made:29 created:16 established.:1 organized:1 founded:1
"""It was discovered by a team of astronomers led by Brett J. Gladman , et al . in 2003 .""",discovered,found:49 evident:1
"""Cyanobacteria , also known as blue-green algae , blue-green bacteria or Cyanophyta , is a phylum of bacteria that obtain their energy through photosynthesis .""",obtain,get:43 gain:3 hold:1 kept:1 grab:1 got:1
She finally divorced Monroe in 1947 and also split with Guy .,split,divided:3 parted:3 broke:5 broke up:11 brokeup:4 separated:5 broke-up:4 ended:1 left:5 broke up with:1 seperated:1 stopped:1 ended it:1 divorced:2 separated :1 departed:1 left off:1
CrissÌ© is a commune in the Sarthe department in the Pays de la Loire region in north-western France .,region,area:45 section:5
"""Dan pulled in Ruth Marie as a fifth person in his alliance , but after losing another Immunity Challenge , Sally convinced the La Mina men that she was a more valuable player .""",convinced,persuaded:14 assured:5 showed:7 told:16 converted:1 swayed:2 proved to:2 persuaded :1 explained:1 guaranteed:1
"""Greater Armenia is an Armenian irredentist political goal aimed at uniting with Armenia most of the Armenian Highland , the historical homeland of the Armenians since antiquity up until the Armenian Genocide when they were massacred and forcefully expelled by the Ottoman Turkish government .""",forcefully,energetically:1 strongly:12 effectively:1 forcibly:5 violently:4 rudely:1 powerfully:8 physically:2 angrily:1 quickly:2 firmly:1 emphatically:1 energeticlly:1 controllably:1 brutally:1 essentially:1 harshly:3 strongly :1 vigorously:1 severly:1 made to be:1
"""Lightcurve data for Europa has been particularly tricky to interpret , so much so for a long time its period of rotation was in dispute despite numerous observations .""",tricky,hard:36 suspect:1 difficult:9 confusing:1 complicated:1 difficult :1 tough:1
It is typically used for scraping or cutting food before the food enters the esophagus .,scraping,scratching:16 rubbing:3 reducing:1 wearing down:1 slicing:2 removing:1 peeling:4 trimming:1 ripping:1 breaking:1 shaving:4 grinding:4 clearing:1 grating:1 chewing:1 tearing:2 poking:1 collecting:1 grating :1 softening:1 chopping:1 shredding:1
"""City of Faizabad is the headquarters of Faizabad District and a municipal board in the state of Uttar Pradesh , India , situated on the banks of river Ghaghra .""",headquarters,base:21 head office:1 central location:1 home:7 capital:2 location:5 home office:1 center:4 main office:1 office:3 main location:1 seat:1 hometown:1 head building:1
The name Kalganup is believed to be the Noongar word for ` place of many waters ' .,believed,thought:36 accepted:3 said:3 known:6 trusted:1 understood:1
Romano Fogli is an Italian retired footballer and former manager .,retired,past:2 former:25 resigned:5 ex:4 elderly:2 old:5 withdrawn:1 inactive:2 one-time:1  former:1 previous:1 finished:1
It overwinters in conifer groves .,conifer,evergreen:10 tree:16 pine:16 wood:1 grassy:1 nice:1 pine tree:2 cedar:1 fir:1 pinetree:1
"""In mid-June 2006 , the slab was crumbling in frequent rockfalls , although it was still being extruded .""",extruded,held:1 pushed:3 forced:1 expelled:3 worked:1 repaired:1 pushed out:5 erected:1 removed:7 formed:1 made:1 dismissed:1 examined:1 brought out:1 ejected:3 forced out:4 discharged:1 pressed:1 taken:1 dug up:1 squeezed out:1 shaped:2 stuck out:1 kicked out:1 dug:1 extracted:1 squeezed:2 fixed:1 thrusted:1
The Billionaire of Dismal Downs is a Scrooge McDuck comic by Don Rosa . It is the ninth of the original 12 chapters in the series The Life and Times of Scrooge McDuck .,series,show:1 set:10 line-up:1 stories:1 books:6 sequence:3 se:1 string:1 story:4 run:1 comic:1 collection:4 group:3 chain:1 parts:1 list:2 book:2 comics:4 cycle:2 saga:1
"""HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope , returned to southern Africa and was wrecked on the coast .""",returned,went back:14 went:5 came back:17 relocated:1 back:1 came:2 came-back:1 revisited:1 retreated:2 turned around:1 went again:1 headed:1 gone:1 came back :1 turned:1
"""The concept of a `` picture element '' dates to the earliest days of television , for example as `` Bildpunkt '' in the 1888 German patent of Paul Nipkow .""",concept,idea:46 thought:2 theory:1 basis:1
On 1 October 1983 the pilot project began operations as a full-fledged bank and was renamed the Grameen Bank to make loans to poor Bangladeshis .,full-fledged,real:10 developed:4 fully operating:1 legitimate:1 total:3 complete:17 full:1 qualified:3 whole:2 major:1 working:1 full-service:2 bona fide:1 proper:1 genuine:1 actual:1
A lesson is a structured period of time where learning is intended to occur .,structured,set:13 planned:10 measured:1 precise:1 ordered:2 specific:2 created:1 tidy:1 organized:8 fixed:3 formal:1 particular:1 certain:1 scheduled:1 rigid:1 arranged:1 planned :1 orderly:1
It has been suggested that eastern Pacific Ocean tropical cyclones are formed out of tropical waves that originate in North Africa as well .,originate,start:22 started:6 come:1 begin:11 began:3 formed:1 derive:1 develop:2 came:1 come from:1 start from:1
Riel sought to preserve MÌ©tis rights and culture as their homelands in the Northwest came progressively under the Canadian sphere of influence .,sought,wanted:18 searched:1 tried:17 strove:1 looked:5 acted:1 wated:1 looked for:1 seeked:1 worked:1 desired:1 looked :1 attempted:1
"""They are characterized by spirituality and metaphysical themes , extremely long takes , lack of conventional dramatic structure and plot , and memorable cinematography .""",cinematography,movies:5 camera work:1 filming:12 visuals:3 film:4 movie:2 filmmaking:4 imagery:1 movie making:1 films:1 filming style:1 pictures:4 scenes:1 backdrops:1 video:1 filmography :1 photos:1 graphics:1 performances:1 directing:1 scenery :1 photography:1 movie planning:1
Seismograms are essential for measuring earthquakes using the Richter scale .,essential,important:10 needed:25 necessary:10 a must:1 required:1 vital:2 basic:1
"""But , from time to time the Church hierarchy , and even some popes , have given opinions on various matters ; although these `` guidelines '' are not binding on Catholics , many tradition-minded Catholics find them persuasive .""",persuasive,believable:5 sensible:1 convincing:20 effective:2 TRUE:1 influential:6 ture:1 tricky:1 correct:1 insistent:1 valid:1 desirable:1 agreeable:1 alluring:1 strong:2 credible:1 influential :1 relevant:1 compelling :1 telling:1
A haunted house is defined as a house that is believed to be a center for supernatural occurrences or paranormal phenomena .,occurrences,happenings:12 events:24 acts:1 activities:2 beings:1 activity:1 instances:1 things:2 happinings:1 situations:1 times:1 event:1 accidents:1 happening:1
"""Glaciologically , ice age implies the presence of extensive ice sheets in the northern and southern hemispheres ; by this definition we are still in the ice age that began at the start of the Pleistocene .""",definition,description:7 idea:6 meaning:19 measure:1 explanation:8 example:1 answer:1 translation:1  explanation:1  description:1 characterization:1 finding:1 theory:1 classification:1
"""From Scarborough Monday to Saturdays there is generally an hourly First TransPennine Express service to York , Leeds , Manchester Piccadilly and Liverpool Lime Street and a two-hourly Northern Rail service to Bridlington , Hull and Sheffield via the Yorkshire Coast Line .""",generally,usually:34 usually :1 normally:6 often:3 about:1 mainly:1 mostly :1 commonly:1 sometimes:1 running:1
"""The county is divided into three areas of unorganized territory : Dupree , North Ziebach , and South Ziebach .""",divided,split:29 separated:7 set up:1 split up:2 seperated:2 broken:2 separated :3 parted:1 broken up:1 dissected :1 shared:1
"""The Pittsburgh Steelers are a professional American football team based in Pittsburgh , Pennsylvania .""",based,living:1 located:31 from:2 set:2 headquartered:1 found:6 housed:2 placed:1 residing:1 formed:1 established:1 playing:1
"""During the final immunity challenge , Sandra fell out early , allowing Jon to try to convince Lil to take him to the final two .""",final,last:50
"""Avian influenza virus H3N2 is endemic in pigs in China and has been detected in pigs in Vietnam , increasing fears of the emergence of new variant strains .""",detected,found:40 seen:4 sensed:1 discovered:1 noticed:2 shown:1 noted:1
"""And though often viewed as a youthful expression of rebellion by the mainstream media , modern punk embodies a range of age groups who generally disagree with the perceived of countercultural principals and it is not uncommon for middle-aged people to form punk houses and resistance movements in the face of what they view as the widespread , unfair exploitation of human and animal rights .""",exploitation,slavery:1 use:8 abuse:12 absue:1 violation:1 misuse:4 harming:1 advantage:5 usage:3 showing:1 profiting:1 utilization:1 taking advantage:2 using:2 misuse :1 treatment:2 breaking:1 dishonesty:1 sketchiness:1 profiteering:1
GroÌÙlangheim is a municipality in the district of Kitzingen in Bavaria in Germany .,municipality,city:26 part:1 town:10 building:1 region:3 community:2 area:4 section:1 village:1 city :1
"""He received many awards , among them a posthumous Special Citation from the Pulitzer Prize Board in 2007 for his `` masterful improvisation , supreme musicianship and iconic centrality to the history of jazz . ''""",received,got:31 won:6 earned:3 gained:1 obtained:2 aquired:1 accepted:3 has:2 accepted :1
When a fair weather waterspout makes landfall it quickly dissipates as it loses the inflow of warm air into the vortex .,dissipates,evaporates:2 disolves:1 fades:3 goes away:3 disappears:11 begins to melt away:1 spreads:3 wastes :1 clears:1 scattered:1 lessens:3 vanishes:1 vaporizes:1 fizzles:1 depeletes:1 shrinks:1 disappears :1 disperses:1 breaks up:2 scatters:4 falls apart:1 diminishes:1 slows:1 dissolves :1 wastes:1 stops:1 dispels:1
"""Its purpose is to promote free trade and the fluid movement of goods , people , and currency .""",fluid,easy:18 water:1 liquid:3 flowing:9 smooth:4 changing:2 free:6 ongoing:1 constant:3 fast:1 continuous:1 general:1
Most of the state lies in an area known as Tornado Alley characterized by frequent interaction between cold and warm air masses producing severe weather .,interaction,meeting:4 contact:6 mixing:9 communication:5 action:1 work:1 collisions:1 movement:2 involved:1 relationship:1 combination:2 meetings:2 combining:1 communication :1 involvement:1 cooperation:1 synergy:2 reaction:1 play:1 exchange:2 changes:1 bumping:1 talks:1 contacts:1 collision:1
The reservoir has a volume of 4.26 mio m and a surface area of 0.25 km .,reservoir,lake:19 basin:6 stockpile:1 container:4 water source:1 water:1 source:1 tank:8 reserve:1 pool:2 space:1 body of water:1 pond:2 river:1
"""After receiving the news of the important award , Yunus announced that he would use part of his share of the $ 1.4 million award money to create a company to make low-cost , high-nutrition food for the poor ; while the rest would go toward setting up an eye hospital for the poor in Bangladesh .""",announced,said:42 advised:1 declared:2 stated:4 informed:1
"""Phillip was appointed Governor of New South Wales , the first European colony on the Australian continent , and was the founder of the site which is now the city of Sydney .""",appointed,made:24 elected:3 selected:5 chosen:5 named:6 assigned:2 hired:1 designated:1 the chosen:1 chosen as:1 selected :1
Toshiba was founded by the merging of two companies in 1939 .,merging,joining:19 combining:20 merger:1 coming together:1 uniting:1 union:1 blending:2 mixing:1 meeting:1 fusing:1 combining :1 melding:1
"""After crossing Florida , Hurricane Hunters indicated a poorly defined circulation , but with winds exceeding tropical storm strength , and the system was designated as Tropical Storm Erika late on August 14 while located 85 miles west of Fort Myers .""",indicated,showed:25 measured:1 told of:1 shows:1 noticed:3 said:2 marked:2 saw:2 determined:1 expressed:1 found:3 reported:3 suggested:2 noted:1 looked at:1 pointed out:1
Eucalyptus forests in California have been criticised because they compete with native plants and do not support native animals .,criticised,put-down:1 critqued:1 judged:9 rated:1 rejected:1 bashed:6 faulted:3 attacked:1 not liked:1 talked about:1 ridiculed:1 blamed:7 causing concern:1 complained about:1 insulted:1 disapproved:2 denounced:1 disparaged :1 chastised:1 disliked:2 mocked:1 questioned:1 put down:2 denounced :1 dissed:1 knocked:1
"""After the demise of the WHL , however , the Stanley Cup was awarded exclusively to the NHL playoff champion , and the Wales Trophy was given to the regular season champion .""",exclusively,only:39 solely:3 singularly:1 soley :1 entirely:2 just:1 soley:1 solely :1 rights:1
"""It was discovered and opened about the same time as Crystal Cave , but was closed by the owners in the 1940s .""",discovered,seen:1 found:48 found :1
Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,purchased,bought:50
"""Sir Terence David John Pratchett , OBE , more commonly known as Terry Pratchett , is an English novelist , known for his frequently comical work in the fantasy genre .""",novelist,writer:38 author:11 arthur:1
Students are obligated to attend the central high school .,obligated,required:29 supposed:4 made:3 bound:2 forced:9 expected:1 required :1 supposed :1
The technique consists of precoding the data so as to cancel the effect of the interference .,technique,way:4 idea:1 style:7 method:17 process:5 procedure:1 approach:2 task:2 form:1 step:1 steps:1 trick:1 skill:3 pattern:1 effort:1 practice:1 job:1
"""In 1989 , these diversified interests started growing into separate organizations , as the fisheries project became Grameen Motsho and the irrigation project became Grameen Krishi .""",organizations,groups:29 companies:8 businesses:5 agencies:1 entities:2 franchises :1 units:1 projects:1 groupings:1 places:1
"""In August 1995 , the TTC suffered its worst subway accident in what it refers to as the Russell Hill accident , on the Yonge-University-Spadina Line south of St. Clair West station .""",suffered,had:22 endured:7 felt:2 experienced:7 braved:2 plagued:1 pained:1 underwent:2 went through:1 saw:1 lost:1 faced:1 got in:1 endured :1
"""The Short-beaked Echidna is an iconic animal in contemporary Australia , notably appearing on the Australian five-cent piece and on a $ 200 commemorative coin released in 1992 .""",contemporary,modern:33 old:2 newer:1 mainstream:1 current:3 today's:1 recent:1 present:3 historical:1 present-day:2 popular:1 present day:1
Gygax is generally acknowledged as the father of role-playing games .,generally,widely:2 usually:28 often :1 normally:5 often:2 mostly:3 mainly:5 commonly:2 roughly:1 traditionally:1
"""After 1910 , he spent the remainder of his life in Moscow , working in the Marfo-Mariinsky Convent .""",remainder,rest:46 last:3 end:1
"""Situated 13 miles southeast of Seattle , Washington , Renton straddles the southeast shore of Lake Washington .""",situated,placed:6 set:2 located:31 sitting:1 positioned:1 around:1 on:1 being:1 found:5 at:1
"""In the third book , Harry Potter and the Prisoner of Azkaban , Rowling uses a time travel premise .""",premise,idea:13 background:1 infered:1 storyline:3 basis:6 plot:4 theory:2 theme:8 device:1 motif:1 argument:1 story:3 basis for the story:1 building:1 setting:1 plan:1 stance:1 concept:1
Yass is a prominent area for raising sheep which produce very fine wool due to the soil and climatic conditions of the Yass area .,prominent,popular:3 obvious:2 noticeable:4 known:3 important:4 major:3 main:2 famous:2 well-known:2 huge:1 better:2 noted:2 excellent:1 big:2 good:1 striking:1 great:3 special:1 ideal:1 noticable :1 defined :1 valuable:1 prime:2 populat:1 remarkable :1 large:1 grand:1 rich:1
"""Annual production of Lego bricks averages approximately 20 billion per year , or about 600 pieces per second : if all the Lego bricks ever produced were to be divided equally among a world population of six billion , each person would have 62 Lego bricks .""",averages,about:1 makes:5 is:21 equals:4 tallys:1 are:1 match:1 builds:1 costs:1 balances:1 typically has:1 combines:1 is about:1 runs:1 mostly have:1 is around:1 uses:1 usually is:1 totals:1 comes to:1 is usually:1 measures:1 adds up to:1
"""Historians are undecided if Lincoln actually said this line , and in a letter that Stowe wrote to her husband a few hours after meeting with Lincoln no mention of this comment was made .""",undecided,unsure:38 unclear:2 wishy-washy:1 confused:2 not sure:5 doubtful:1 unconvinced:1
"""The interest was so great that developers found themselves advertising the parks rather than their own developments , as the highest prices would exist for the park perceived to be best .""",advertising,selling:5 marketing:2 talking about:4 promoting:19 announcing:2 publicizeing:1 talking:1 promoting :1 demonstrating:1 praising:2 showing:4 proclaiming:1 displaying:1 boosting:1 telling people about:1 hyping:1 revealing:1 offering:1 pushing:1
"""It generally consists of a shallow pool of water , usually quite calm .""",generally,mainly:4 usually:39 normally:4 roughly:1 mostly:1 commonly:1
A tropical cyclone strikes eastern Cuba on September 28 .,strikes,hits:44 hit:5 batters:1
The Romans believed the fumes produced by burning castoreum could induce an abortion ; Paracelsus thought it could be used in the treatment of epilepsy ; and medieval beekeepers used it to increase honey production .,produced,caused:3 made:38 built:1 created:7 composed:1
"""Phosgene can be detected at 0.4 ppm , which is four times the Threshold Limit Value .""",detected,seen:15 found:20 spotted:2 noticed:9 discovered:1 shown:1 observed:2
"""He invites his sister , May Belle to enter Terabithia ; she is delighted because she was previously denied any opportunity to enter .""",denied,not given:3 refused:19 rejected:5 forbidden:2 declined:4 prevented:2 gores against:1 withheld:1 failed:1 banned from:1 not allowed:5 banned:2 rejected :1 forbidden :1 refused :1 running:1
"""Oat bread was first manufactured in England , where the first oat bread factory was established in 1899 .""",manufactured,made:47 created:3
The Trans-Asian Railway is a project to create an integrated freight railway network across Europe and Asia .,create,make:41 build:6 send:1 start:2
"""If the object has exactly the same density as the fluid , then its buoyancy equals its weight .""",fluid,water:4 liquid:44 easy:1 liqiud:1
They have also been observed in captivity catching Spiny dogfish of up to 3-4 feet in length .,observed,seen:41 watched:5 saw:1 studied:1 witnessed:1 discovered:1
"""In mid-November 2008 , President-elect Obama and Clinton discussed the possibility of her serving as U.S. Secretary of State in his administration , and on November 21 , reports indicated that she had accepted the position .""",indicated,suggested:3 show:2 stated:3 told:2 recorded:1 showed:22 said:13 noted:1 determined:1 shown:1 claimed:1
"""Outcast of Redwall is a fantasy novel by Brian Jacques , published in 1995 .""",novel,book:38 story:11 text:1
"""With the others bailed out for various food items , Tom was the last man standing and won Immunity .""",various,different:28 a number of:2 many:9 different :3 several:3 diffrent:1 some:1 many different:1 random:1 numerous:1
"""Thus , on Unification Day , October 3 , 1990 , the German Democratic Republic ceased to exist , giving way to five new Federal States , and East and West Berlin were also unified as a single city , forming a sixth new Federal State . The new Federal States immediately became parts of the Federal Republic of Germany , so that it was enlarged to include the whole territory of the former East Germany .""",territory,area:36 land:9 place:1 property:2 section:1 region:1
"""In the opening and middlegame , the king will rarely play an active role in the development of an offensive or defensive position .""",rarely,infrequently:1 hardly:5 uncommonly:1 almost never:6 barely:2 seldom:5 unlikely:2 sometimes:5 not:3 hardly ever:5 not often:6 occasionaly:1 hardly every:1 not usually:5 seldomly:1 not generally:1
The most troublesome situation usually occurs with short journeys from west to east .,troublesome,irritating:1 difficult:21 dangerous:2 headache-inducing:1 problematic:5 worrying:1 burdensome:1 annoying:3 tricky:1 alarming:2 difficult :1 hard:2 trying:2 upsetting:1 painful:1 bad:1 bothersome:3 troubling :1
"""Barnes & Noble , Inc. is the largest book retailer in the United States , operating mainly through its Barnes & Noble Booksellers chain of bookstores headquartered in lower Fifth Avenue in Lower Manhattan , New York City .""",headquartered,with main office:1 located:18 situated:1 based:13 mained:1 positioned:1 with its main office:2 offices:1 stationed:3 started:2 with a main office:1 centered:1 with main offices:1 main office:1 managed:1 mainly located:1 ran:1
Hurricane-force wind gusts were reported in New England .,hurricane-force,really strong:1 strong:21 extremely strong:1 heavy :1 very stong:1 tornado-force:1 stron:1 high:3 very strong:7 very fast:1 dangerous:2 really high:1 heavy:2 very damaging:1 large:1 powerful:2 storm:1 severe:1 huge:1
Spain and Luxembourg currently have Bourbon monarchs .,currently,presently:10 as of now:1 now:24 recently:1 these days:1 most currently:1 right now:6 recently :1 at this time:3 today:1 already:1
"""The toys are similar to many other small plush toys , however , each Webkinz toy has an attached tag with a unique `` Secret Code '' printed on it that allows access to the `` Webkinz World '' website .""",unique,special:21 one-of-a-kind:2 different:8 exclusive:3 individual:1 singular:1 personal:1 one of a kind:2 original:1 specific:2 one-of a kind:1 unusual:2 sepcial:1 rare:2 its own:1 seperate:1
Jamie Farr is an American television and film actor and popular game show panelist .,panelist,player:9 participant:5 judge:4 contributor:2 guest:7 host:6 member:7 actor:1 participant :2 contestant:5 person:2
"""However , the availability of suitable habitat is critical : forest must be neither too old nor too young .""",availability,presence:9 accessibility:1 need:3 possibility:4 time:3 convenience:1 pervasiveness:1 amount:1 type:2 vacancy:2 opening:4 being:1 abundance:1 ready for use:1 usability:1 chance:1 openness :1 existence:3 option:1 presence :2 place:1 opportunity:1 readiness:1 existens:1 available :1 ease of finding:1 handiness:1
"""He enrolled at Papanui High School , then University of Canterbury , but for only one year .""",enrolled,studied:7 joined:5 started:6 was:2 began:1 attended:1 registered:8 signedup:1 learned:1 signed up for classes:1 enlisted:1 started class:1 went to school:1 signed up:8 was a student:1 entered:4 entered :1
"""Famous for hosting the annual Rose Bowl football game and the Tournament of Roses Parade , Pasadena is the home of many leading scientific and cultural institutions , including the California Institute of Technology , Pasadena City College , the Jet Propulsion Laboratory , Art Center College of Design , the Pasadena Playhouse , California School of Culinary Arts Pasadena , the Norton Simon Museum of Art and the Pacific Asia Museum .""",leading,top:19 notable:2 main:1 foremost:1 well known:3 popular:2 famous:2 important:6 heading :1 of the best:2 great:2 good:1 head:2 major:1 front running:1 top :1 big:1 advanced:1 top rate:1
"""Bunch is a small unincorporated community in southwestern Adair County , Oklahoma , United States .""",community,town:22 group:7 neighborhood:5 village:2 city:3 district:1 place to live:1 area:3 locality:1 society:1 group of people:2 settlement:2
The association of virtue with withdrawal from society - and specifically from cities - was a familiar theme in religious literature .,theme,idea:16 subject:8 motif:3 design:1 topic:12 storyline:2 pattern:1 happening:1 plot:1 topic :1 place:1 concept:1 point:1 thought:1
"""She has three older brothers : Aaron , Benjamin , and Nathaniel , the latter of whom is a model and actor .""",latter,last:40 other:2 final:2 previous:1 later:1 youngest:1 last one:1 last-mentioned:1 last :1
"""Before meeting the Sacramento River , the San Joaquin River has two distributary rivers , the Old River and the Middle River , both of which once were the main channels of the river . Due to the bend in the San Joaquin River channel at the head of the Old River , a significant portion of the San Joaquin River flow continues down the Old River instead of heading northward along the San Joaquin .""",significant,an important:1 large:25 big:7 major:5 heavy:1 important:6 huge:1 very important:1 larger:1 large :1 considerable:1
"""The primary trinity included Tinia , Uni and Menrva .""",primary,main:33 first:7 complete:1 central:2 most important:3 original:2 initial:1 leading :1
"""Tolstoy was born in Yasnaya Polyana , the family estate in the Tula region of Russia .""",estate,home:31 grounds:1 house:4 lands:2 property:5 land:2 domain:1 residence:3 home located:1
The Earthquake Engineering Research Institute is a leader in dissemination of earthquake engineering research related information both in the U.S. and globally .,research,studies:14 study:23 investigation:2 studying:2 science:1 work:1 information:2 analysis:1 learning:1 collecting :1 findings:1 data:1
"""Notable former managers of Notts County include Jimmy Sirrel , Neil Warnock , Howard Kendall and Sam Allardyce .""",former,previous:16 past:16 last:2 earlier:2 old:8 prior:4 ex:1 retired:1
"""In addition to local research conducted at the radio telescope , Parkes scientists have assisted NASA for several missions as a Southern Hemisphere relay and communications station .""",assisted,helped:44 aided:4 been used by:1 supported:1
"""Volcanologists frequently visit volcanoes , especially active ones , to observe volcanic eruptions , collect eruptive products including tephra , rock and lava samples .""",frequently,often:39 regularly:2 constantly:1 watch and :1 usually:4 commonly:1 always:1 many times:1
"""Pool , also known as pocket billiards , is the general term for a family of cue sports played on a pool table with six receptacles called pockets along the , into which balls are deposited as the main goal of play .""",receptacles,holes :1 holes:29 containers:8 places:1 baskets:1 holders:3 pouches:1 areas:1 spaces to collect:1 openings:3 divisions :1
"""He normally appears in a running gag , where he usually suffers unfortunate , nearly always fatal , events .""",unfortunate,unlucky:15 bad:19 sad:6 disasterous:1 terrible:3 tragic:1 unlikely:1 unhappy:2 hapless:1 damaging:1
Most digital media are based on translating analog data into digital data and vice-versa .,translating,turning:5 changing:30 rewording:3 converting:5 transferring:1 running:1 understanding:1 making:1 explaining:1 moving:1 decoding:1
"""Wrestlers portrayed a villain or a hero as they followed a series of events that built tension , and culminated into a wrestling match or series of matches .""",villain,bad guy:31 bad-guy:2 enemy:3 bad person:2 evialdoer:1 outlaw:1 evildoer:1 villain:1 criminal:4 offender:1 anti hero:1 bag guy:1 antagonist:1
"""Not to be confused with `` terms '' in colloquial usages , the shortened form of technical terms which are defined within a discipline or speciality field .""",discipline,subject:6 job:3 specialist:1 thought:1 study:3 career:3 area of study:1 order:1 field:1 control :1 strict:1 area:4 practice:4 an area:1 profession:1 skill:1 topic:1 group:1 field of study:1 specific:2 mastery:1 education:1 trade:1 (an) area:1 course:1 topic of study:1 method:1 control:2 category:1 workers job:1 skipping:1
A `` dune field '' is an area covered by extensive sand dunes .,extensive,lots of:2 many:18 large:13 a lot of:4 big areas of:1 numerous:1 complex:1 large :1 huge:4 wide:1 big:1 a large area:1 vast:1 major:1
107 Camilla is one of the largest main belt asteroids .,largest,biggest:49 top:1
"""First mentioned by the Ancient Greek geographer Ptolemy , the pre-Christian settlement of the Saxon people originally covered an area a little more to the northwest , with parts of the southern Jutland Peninsula , Old Saxony and small sections of the eastern Low Countries .""",sections,parts:29 portions:2 areas :1 areas:15 portion:1 places:1 pieces:1
